Source,Target
504172,4836
504172,253
504172,769
504172,2034
504172,4982
405774,131631
405774,198663
405774,294254
405774,185
405774,262500
429197,769
429197,508
429197,316029
429197,443009
429197,396371
369972,10734
369972,3558
369972,10545
369972,769
369972,210577
424694,369192
424694,397538
424694,152532
424694,10139
424694,354912
426426,1949
426426,141
426426,112160
426426,398173
426426,171274
375262,449176
375262,10139
375262,382475
375262,184352
375262,376867
446021,77
446021,13
446021,1368
446021,1369
446021,2832
484247,336843
484247,101299
484247,346364
484247,454983
484247,84892
332562,525
332562,25196
332562,254470
487558,451915
487558,769
487558,334543
487558,363676
487558,443009
470044,392044
470044,281957
470044,101299
470044,336843
470044,8966
407436,278927
407436,34584
407436,10140
407436,449176
407436,281957
398173,10781
398173,1696
398173,984
398173,5486
398173,12521
438808,261023
438808,4982
438808,2034
438808,504172
438808,429203
569547,296
569547,62
569547,78
569547,335984
569547,264660
458594,10781
458594,74997
458594,956
458594,156022
458594,398181
399360,281957
399360,290512
399360,309050
399360,275
399360,372343
446101,4421
446101,10035
446101,342737
446101,336804
446101,20815
447332,381283
447332,405774
447332,110415
447332,19908
447332,11472
489999,300668
489999,338970
489999,309
489999,284276
489999,277685
450465,155
450465,1927
450465,141052
450465,1924
450465,1452
429203,75656
429203,339403
429203,359412
429203,949
429203,531593
157336,568
157336,126889
157336,75612
157336,8077
157336,348
155,209112
155,44912
155,156022
455207,8966
455207,9880
455207,50619
455207,499963
455207,449176
315635,49521
315635,1924
315635,1452
315635,8536
315635,9531
263115,155
263115,272
263115,49521
263115,209112
263115,141052
446807,65754
446807,281957
446807,336843
446807,392044
446807,9654
337167,281957
337167,867
337167,392044
337167,341174
337167,11027
8966,50619
8966,466282
8966,43923
8966,123553
210577,346364
210577,75780
210577,392044
210577,65754
210577,336843
451925,38
451925,13
451925,817
451925,122906
451925,449176
150540,12092
150540,812
150540,260513
150540,11360
150540,2300
474354,336843
474354,390051
474354,13655
474354,1645
474354,500006
316029,424694
316029,424
316029,769
316029,640
316029,396371
400535,1266
400535,4771
400535,562
400535,1701
400535,261023
334543,769
334543,424
334543,371638
399055,9738
399055,150689
399055,381284
399055,440298
399055,36647
454227,769
454227,316029
454227,443009
454227,396371
454227,399404
272,98566
272,9738
272,155
272,559
272,49521
374720,228150
374720,324786
374720,369885
374720,676
374720,16869
466411,8966
466411,9991
466411,131631
466411,262500
